vocab_size,embed_dim,num_characters,Non_vocab_parameters,FLOPs,Lossu
4096.0,512.0,180820540.85207617,33222784.0,1.271517696e+16,-1.3494449853897095
4096.0,512.0,361641081.70415235,33222784.0,2.543035392e+16,-2.0973777770996094
4096.0,512.0,542461622.5562285,33222784.0,3.814553088e+16,-2.502056121826172
4096.0,512.0,723282163.4083047,33222784.0,5.086070784e+16,-2.7609572410583483
4096.0,512.0,904102704.2603809,33222784.0,6.35758848e+16,-2.8973426818847656
4096.0,512.0,1084923245.112457,33222784.0,7.629106176e+16,-3.036267042160034
4096.0,512.0,1265743785.964533,33222784.0,8.900623872e+16,-3.1521780490875244
4096.0,512.0,1446564326.8166094,33222784.0,1.0172141568e+17,-3.2433104515075684
4096.0,512.0,1627384867.6686854,33222784.0,1.1443659264e+17,-3.4037160873413086
4096.0,512.0,1808205408.5207617,33222784.0,1.271517696e+17,-3.5318007469177246
4096.0,512.0,1989025949.3728378,33222784.0,1.3986694656e+17,-3.621314525604248
4096.0,512.0,2169846490.224914,33222784.0,1.5258212352e+17,-3.7126035690307617
4096.0,512.0,2350667031.07699,33222784.0,1.6529730048e+17,-3.743427038192749
4096.0,512.0,2531487571.929066,33222784.0,1.7801247744e+17,-3.7540900707244873
4096.0,512.0,2712308112.7811427,33222784.0,1.907276544e+17,-3.828134059906006
4096.0,512.0,2893128653.633219,33222784.0,2.0344283136e+17,-3.849217653274536
4096.0,512.0,3073949194.485295,33222784.0,2.1615800832e+17,-3.8648250102996826
4096.0,512.0,3254769735.337371,33222784.0,2.2887318528e+17,-3.8869221210479736
4096.0,512.0,3435590276.1894474,33222784.0,2.4158836224e+17,-3.926177978515625
4096.0,512.0,3616410817.0415235,33222784.0,2.543035392e+17,-3.940192699432373
6144.0,512.0,192381947.0290163,33222784.0,1.309266432e+16,-1.2201299667358398
6144.0,512.0,384763894.0580326,33222784.0,2.618532864e+16,-2.084698438644409
6144.0,512.0,577145841.0870489,33222784.0,3.927799296e+16,-2.4628841876983643
6144.0,512.0,769527788.1160651,33222784.0,5.237065728e+16,-2.686955690383911
6144.0,512.0,961909735.1450814,33222784.0,6.54633216e+16,-2.8678483963012695
